,transformation_code,magnitude,vec_implementation_ramp,magnitude_type,dict_categories_to_magnitude,magnitude_burned,magnitude_removed,min_loss,categories_source,categories_target,categories_entc_max_investment_ramp,categories_entc_renewable,dict_entc_renewable_target_msp,frac_high_given_high,frac_switchable,cats_inflow_restriction,dict_lsmm_pathways,vec_cats_lvst,dict_lvst_reductions,magnitude_red_meat,dict_magnitude_eff,dict_magnitude_prev,categories,dict_fuel_allocation,dict_allocation_fuels_target,fuels_source,categories_out,dict_categories_target,dict_categories_out,dict_magnitude,magnitude_biogas,magnitude_compost
37,transformation_soil_dec_n_applied.yaml,0.2,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,transformation_trde_dec_demand.yaml,0.25,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,transformation_trns_inc_efficiency_electric.yaml,0.25,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,transformation_trns_inc_efficiency_non_electric.yaml,0.25,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,transformation_trns_inc_occupancy_light_duty.yaml,0.25,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,transformation_trns_shift_fuel_light_duty.yaml,0.7,null,,,,,,,,,,,,,,,,,,,,['road_light'],null,,,,,,,,
43,transformation_trns_shift_fuel_maritime.yaml,0.7,null,,,,,,,,,,,,,,,,,,,,['water_borne'],,null,"['fuel_diesel', 'fuel_gasoline']",,,,,,
44,transformation_trns_shift_fuel_medium_duty.yaml,0.7,null,,,,,,,,,,,,,,,,,,,,"['road_heavy_freight', 'road_heavy_regional', 'public']",,null,"['fuel_diesel', 'fuel_gasoline']",,,,,,
45,transformation_trns_shift_fuel_rail.yaml,0.25,null,,,,,,,,,,,,,,,,,,,,"['rail_freight', 'rail_passenger']",null,,,,,,,,
46,transformation_trns_shift_mode_freight.yaml,0.2,null,,,,,,,,,,,,,,,,,,,,,,,,"['aviation', 'road_heavy_freight']",null,,,,
47,transformation_trns_shift_mode_passenger.yaml,0.3,null,,,,,,,,,,,,,,,,,,,,,,,,['road_light'],null,,,,
48,transformation_trns_shift_mode_regional.yaml,,null,,,,,,,,,,,,,,,,,,,,,,,,,null,"{'aviation': 0.1, 'road_light': 0.2}",,,
49,transformation_trww_inc_capture_biogas.yaml,0.85,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,transformation_trww_inc_compliance_septic.yaml,0.9,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,transformation_wali_inc_treatment_industrial.yaml,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,null,,
52,transformation_wali_inc_treatment_rural.yaml,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,null,,
53,transformation_wali_inc_treatment_urban.yaml,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,null,,
54,transformation_waso_dec_consumer_food_waste.yaml,0.3,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,transformation_waso_inc_anaerobic_and_compost.yaml,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.475,0.475
56,transformation_waso_inc_capture_biogas.yaml,0.85,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,transformation_waso_inc_energy_from_biogas.yaml,0.85,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,transformation_waso_inc_energy_from_incineration.yaml,0.85,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,transformation_waso_inc_landfilling.yaml,1.0,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,transformation_waso_inc_recycling.yaml,0.95,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
